"word","tfidf","tf"
"the museum",0.483208573562499,54
"the prado",0.468987782135179,39
"to see",0.374130699955175,29
"to get",0.352717718452272,28
"the art",0.340851295772354,22
"one of",0.271622064588316,16
"of art",0.255267682457954,16
"to take",0.254838799918215,13
"the build",0.254374714981093,14
"in madrid",0.246705545677933,15
"go to",0.245055323464274,13
"this museum",0.235378964350671,11
"the world",0.228125464619121,13
"want to",0.228125464619121,13
"enjoy the",0.226204913967022,12
"to find",0.22488721207303,11
"the staff",0.218035469983794,12
"get in",0.215632830700028,11
"you like",0.210577351956112,12
"a great",0.20735450446977,11
"museum in",0.20735450446977,11
"to go",0.20735450446977,11
"decid to",0.202492475574509,9
"the free",0.202492475574509,9
"an hour",0.196029846090935,10
"collect of",0.196029846090935,10
"was veri",0.196029846090935,10
"a museum",0.192582789014185,9
"art work",0.192582789014185,9
"the queue",0.192582789014185,9
"an art",0.188504094972518,10
"look at",0.183998628059752,9
"museum is",0.183998628059752,9
"see the",0.183998628059752,9
"a must",0.171184701345942,8
"kind of",0.171184701345942,8
"museum the",0.171184701345942,8
"you can",0.171184701345942,8
"and enjoy",0.16661022550876,7
"compar to",0.16661022550876,7
"need to",0.16661022550876,7
"take a",0.16661022550876,7
"the place",0.16661022550876,7
"the ticket",0.16661022550876,7
"queue to",0.164701291454623,6
"audio guid",0.163554336053112,8
"paint of",0.163554336053112,8
"the line",0.163554336053112,8
"art but",0.157494147669062,7
"find the",0.157494147669062,7
"is one",0.157494147669062,7
"the layout",0.157494147669062,7
"the paint",0.157494147669062,7
"the worst",0.157494147669062,7
"to visit",0.157494147669062,7
"enjoy it",0.152372059778118,6
"great museum",0.152372059778118,6
"layout of",0.152372059778118,6
"say that",0.152372059778118,6
"too much",0.152372059778118,6
"museum i",0.151731972930334,5
"a veri",0.1497866136777,7
"art and",0.1497866136777,7
"dont go",0.1497866136777,7
"i found",0.1497866136777,7
"museum was",0.1497866136777,7
"museum with",0.1497866136777,7
"the first",0.1497866136777,7
"the onli",0.1497866136777,7
"time and",0.1497866136777,7
"art lover",0.142808764721794,6
