"word","tfidf","tf"
"the museum",0.596010219116306,760
"to see",0.406640610279072,347
"this museum",0.38792692765554,311
"of dali",0.369069848990256,293
"museum is",0.360349965988658,266
"the dali",0.347746664741373,241
"from barcelona",0.33238486816485,218
"dali museum",0.310211493565291,196
"you can",0.302359829658223,172
"a must",0.286179247883354,175
"to visit",0.284716251449929,172
"lot of",0.280346656527305,160
"to get",0.276099021946764,155
"his work",0.264530904751032,149
"worth the",0.260819663096439,143
"visit the",0.259887447686719,142
"you will",0.256730409781395,129
"of art",0.255421563181321,141
"the train",0.246541368040286,110
"must see",0.234692317335801,122
"a lot",0.233934589972963,118
"see the",0.233934589972963,118
"museum and",0.233430085924723,120
"a great",0.231915058021986,121
"a visit",0.22886819476636,115
"the build",0.228021045132914,111
"well worth",0.218917403689562,110
"one of",0.216616153129593,108
"work of",0.211587095934145,103
"the art",0.20601912288054,97
"salvador dali",0.204049834122437,94
"so much",0.202167917230064,96
"dali work",0.200911852151623,95
"worth a",0.200478585728861,96
"day trip",0.198420746933852,91
"to go",0.197956085621104,94
"this place",0.197623444216015,89
"museum was",0.194213629924834,93
"want to",0.19410834717683,91
"dali was",0.19234273202892,89
"museum in",0.190553638049978,87
"the trip",0.186429466498102,82
"a bit",0.182765885739601,80
"a veri",0.181010947440923,80
"a day",0.180481312167856,79
"go to",0.178535936289576,77
"visit this",0.177061527956205,79
"we went",0.176823100570604,80
"to figuer",0.17677440732385,77
"is veri",0.170727495466485,74
"as well",0.170385275657771,72
"the work",0.170385275657771,72
"time to",0.167784257771307,72
"collect of",0.167403895005111,70
"his art",0.165598210755403,67
"worth it",0.164489297165641,72
"make sure",0.162620926576393,68
"dali and",0.160919427010117,68
"dali fan",0.160919427010117,68
"place to",0.159384654598331,67
"around the",0.157125381895034,65
"to take",0.15627915783045,65
"a dali",0.15618650268629,66
"trip from",0.154708068327418,64
"part of",0.153874863094597,64
"fan of",0.153054989718958,64
"a littl",0.152376814230511,62
"dont miss",0.152290754759802,63
"take a",0.151632951147171,61
"even if",0.150693950976794,62
"at least",0.149262281183214,59
"museum i",0.149147165062791,60
"the best",0.149084247429473,61
"train station",0.148350209522627,55
"the time",0.148296905154093,60
"train from",0.147512533361644,59
"need to",0.145071835963184,57
"a good",0.145012320931786,58
"visit to",0.145003742574196,59
"the artist",0.144658990644672,54
"was veri",0.144285210779068,56
"museum it",0.144175592894031,58
"the world",0.144175592894031,58
"the day",0.143349499137706,57
"the jewel",0.141708689158013,55
"an hour",0.141689806809651,57
"a guid",0.140897089637914,54
"by dali",0.140897089637914,54
"trip to",0.139142804492826,55
"in barcelona",0.139132167536959,54
"art and",0.138276009111023,54
"in figueres",0.137436476175648,54
"the jewelri",0.137436476175648,54
"the visit",0.137436476175648,54
"can be",0.136555645915904,53
"the way",0.136555201951647,52
"i think",0.135715342275634,53
"guid tour",0.135003790027678,49
"the town",0.134035064633821,49
"the place",0.133929140375654,51
"an amaz",0.132227533076671,51
"much to",0.132227533076671,51
"museum we",0.132227533076671,51
"in figuer",0.13130307879966,50
"you get",0.13130307879966,50
"take the",0.130382998396643,49
"museum but",0.129634836349678,50
"piec of",0.129520735442904,49
"hour to",0.127851062819589,49
"miss the",0.127851062819589,49
"work and",0.127851062819589,49
"get a",0.127722120878345,48
"mae west",0.127722120878345,48
"look at",0.127042139622684,49
"veri interest",0.126877455127743,48
"of time",0.126771997228427,47
"the queue",0.125906899264807,47
"a museum",0.125828836186852,46
"the whole",0.125828836186852,46
"dali is",0.125241857455924,48
"the exhibit",0.124234174812582,47
"will be",0.124234174812582,47
"enjoy the",0.123424894071681,47
"barcelona and",0.123228029067683,46
"get in",0.123228029067683,46
"you need",0.122400365841747,46
"dali art",0.121227893086079,44
"a fan",0.12054915887056,45
"place is",0.120358017222206,44
"get there",0.118680167618101,44
"get to",0.118680167618101,44
"is worth",0.118680167618101,44
"love it",0.118680167618101,44
"must visit",0.118680167618101,44
"so mani",0.118680167618101,44
"we took",0.118680167618101,44
"museum the",0.117870288673436,44
"a genius",0.117622607739884,43
"about dali",0.117622607739884,43
"we visit",0.117622607739884,43
"interest and",0.116792988269988,43
"much more",0.116792988269988,43
"sure you",0.115717534309439,42
"abl to",0.115411001537211,39
"to avoid",0.114887198257561,42
"easi to",0.114646121990686,41
"you go",0.114076872263709,42
"a wonder",0.112962354921119,41
"figuer is",0.112962354921119,41
"for dali",0.112962354921119,41
"the main",0.112962354921119,41
"see it",0.112703942273222,40
"build itself",0.112151788775238,41
"of work",0.111849875112864,40
"see and",0.111849875112864,40
"work in",0.111849875112864,40
"on display",0.110741876136997,39
"plenti of",0.109641347837756,38
"time and",0.109053628235043,39
"tri to",0.109053628235043,39
"mani of",0.108551974756651,37
"high recommend",0.108242544192027,39
"is also",0.108242544192027,39
"the first",0.107902340851433,38
"work are",0.107902340851433,38
"to dali",0.107068745159561,38
"sure to",0.106756049210447,37
"the line",0.106756049210447,37
"see this",0.106257381357221,38
"like dali",0.105897331144546,37
"you want",0.105897331144546,37
"the ticket",0.105618137601065,36
"of peopl",0.105442829307341,35
"you see",0.10473120428481,36
"coupl of",0.10425114660273,37
"the area",0.10425114660273,37
"the entranc",0.10425114660273,37
"work is",0.103870750583138,36
"you must",0.103870750583138,36
"well as",0.103035241113612,36
"art museum",0.10268430044548,35
"you like",0.102223270280305,36
"rang of",0.101507316547443,34
"love the",0.0997504632898951,34
"a coupl",0.0989128040467649,34
"great museum",0.0989128040467649,34
"in advanc",0.0989128040467649,34
"like the",0.0989128040467649,34
"museum which",0.0989128040467649,34
"the man",0.0989128040467649,34
"design by",0.0985218072372241,33
"definit worth",0.0981001533285189,34
"the jewelleri",0.0981001533285189,34
"to barcelona",0.0976554628391787,33
"to make",0.0976554628391787,33
"we arriv",0.0976554628391787,33
"a small",0.0968166261343099,33
"full of",0.0968166261343099,33
"to buy",0.0964048725095687,32
"to spend",0.0960036039277424,33
"your ticket",0.0960036039277424,33
"a tour",0.0955362979270052,32
"the guid",0.095165821431352,31
"in line",0.0949250123245228,30
"the tour",0.0949250123245228,30
"i love",0.0946962063895066,32
"in spain",0.0946962063895066,32
"ticket onlin",0.0946962063895066,32
"to figueres",0.0946962063895066,32
"much of",0.0942631817441646,31
"enjoy it",0.0938827889787248,32
"his life",0.0938827889787248,32
"love this",0.0938827889787248,32
"took a",0.0938827889787248,32
"the car",0.0937811254173343,29
"back to",0.0933922202436447,31
"train ride",0.0933922202436447,31
"hour in",0.0925507886167863,31
"interest in",0.0925507886167863,31
"paint and",0.0925507886167863,31
"the onli",0.0925507886167863,31
"number of",0.0912224339459657,30
"figuer and",0.0903795679777207,30
"way to",0.0903795679777207,30
"dali theatremuseum",0.0899023676469326,29
"dali you",0.0890260910164261,29
"art in",0.0881816861477669,29
"museum as",0.0881816861477669,29
"barcelona to",0.0876815333764664,28
"a long",0.0873669157117966,29
"a separ",0.0873669157117966,29
"dali himself",0.0873669157117966,29
"take your",0.0873669157117966,29
"went to",0.0873669157117966,29
"and enjoy",0.0868022860039349,28
"to look",0.0868022860039349,28
"i went",0.0859562258089631,28
"miss it",0.0859562258089631,28
"visit and",0.0859562258089631,28
"we got",0.0854325110920705,27
"amaz and",0.085140938349568,28
