"word","tfidf","tf"
"the museum",0.480683446072849,1224
"the build",0.446282822238397,1531
"the guggenheim",0.394132220417112,884
"to see",0.344291328283112,665
"the art",0.326038874339147,583
"build is",0.315380933971989,595
"in bilbao",0.304483457335399,527
"modern art",0.303195777338514,499
"the exhibit",0.280288983076128,467
"a must",0.271315835201251,439
"build itself",0.24650150766564,375
"of art",0.244269349819354,349
"museum is",0.243194498745397,347
"the river",0.242545585487892,347
"see the",0.239487787008099,349
"the architectur",0.235139946844778,344
"visit the",0.234929575289308,337
"to visit",0.23421511545253,327
"a visit",0.230793742001614,324
"worth the",0.230559748074085,325
"build and",0.229999351932439,322
"must see",0.228716700485936,318
"insid and",0.22427412703719,317
"worth a",0.223584092271242,310
"one of",0.223321477433349,304
"you can",0.222247225011917,296
"the outsid",0.22215074212888,305
"guggenheim museum",0.214190152938222,284
"to bilbao",0.212126297469909,290
"this museum",0.211121787314896,277
"richard serra",0.203925254722344,272
"the building",0.20015628861871,257
"around the",0.199377470375057,256
"enjoy the",0.195929913497889,248
"well worth",0.19197971362898,243
"as well",0.189939178126285,231
"a great",0.188581586321419,236
"walk around",0.182924721965717,224
"audio guid",0.182894428605165,227
"work of",0.178553485033565,213
"the visit",0.173824365781292,204
"to go",0.171008971581442,204
"is worth",0.169940696369988,202
"jeff koon",0.166700813882844,196
"the audio",0.166535142520832,194
"love the",0.164723426511901,189
"lot of",0.163778775404899,185
"piec of",0.161051574463753,183
"the perman",0.155163385508052,177
"of modern",0.154076026417478,173
"the best",0.153314097999786,169
"to get",0.152406913987953,168
"want to",0.150533598170291,168
"frank gehri",0.150228180964874,168
"of time",0.147545534876216,165
"a bit",0.147320332939919,160
"a lot",0.147073099968324,158
"is veri",0.146670524460558,161
"look at",0.144892239464731,156
"outsid and",0.143643758333534,159
"art and",0.142415878185177,156
"architectur and",0.141491345717171,154
"a veri",0.140875068373797,153
"exhibit are",0.140875068373797,153
"an amaz",0.140570648083905,149
"the world",0.139639385498222,147
"see it",0.138069608613025,148
"the citi",0.137106295229632,144
"the main",0.135836220557758,141
"go to",0.134552966518067,140
"even if",0.133939818743192,141
"part of",0.133920585825898,140
"guggenheim is",0.133663448326862,142
"visit to",0.132684284083907,140
"of bilbao",0.132007434599813,138
"museum the",0.130744978154189,137
"museum and",0.129898280768359,138
"time to",0.129747503428136,135
"visit bilbao",0.12808496076262,132
"the collect",0.127423549831446,131
"building the",0.126927606529249,133
"bilbao is",0.126202446050116,131
"museum in",0.12584015092638,130
"veri good",0.125784828612648,129
"architectur is",0.125311405308519,131
"matter of",0.124505453270421,128
"place to",0.124352676631657,125
"art in",0.122790741281584,125
"the day",0.12267843093889,123
"art is",0.121128289864259,123
"to take",0.119564647922376,118
"a good",0.119458519567702,121
"bilbao and",0.118615417460192,118
"the insid",0.116791588760463,118
"along the",0.116524868737909,115
"art the",0.115599771253577,115
"the outside",0.115599771253577,115
